firm_id,rdq,daily_return,adjusted_start_date,adjusted_end_date,days
3,2010-05-06,0.003261026170140853,2010-05-04,2010-05-13,9
3,2010-08-06,-0.013796983122452165,2010-08-04,2010-08-13,9
3,2010-11-08,0.0005829835763145072,2010-11-04,2010-11-15,11
4,2010-03-16,-0.0033934657419551774,2010-03-12,2010-03-23,11
4,2010-07-13,-0.007672092216812505,2010-07-09,2010-07-20,11
4,2010-09-15,0.005530411925445375,2010-09-13,2010-09-22,9
4,2010-12-15,0.0035868847959413977,2010-12-13,2010-12-22,9
11,2010-04-28,-0.012251337284164068,2010-04-26,2010-05-05,9
11,2010-07-28,0.013310176561828356,2010-07-26,2010-08-04,9
11,2010-10-27,0.0029928889987059304,2010-10-25,2010-11-03,9
15,2010-05-06,-0.011771457351028894,2010-05-04,2010-05-13,9
15,2010-08-10,-0.011857705870984126,2010-08-06,2010-08-17,11
15,2010-11-09,-0.015431064464000022,2010-11-05,2010-11-16,11
17,2010-05-05,-0.001072241309129869,2010-05-03,2010-05-12,9
17,2010-08-04,-0.00048043591912272154,2010-08-02,2010-08-11,9
20,2010-05-11,-0.002201858486793298,2010-05-07,2010-05-18,11
20,2010-08-10,-0.003527812204156341,2010-08-06,2010-08-17,11
33,2010-06-02,-0.004308332318360869,2010-05-28,2010-06-09,12
33,2010-08-31,0.004401722751161277,2010-08-27,2010-09-07,11
33,2010-12-15,0.004593523134529314,2010-12-13,2010-12-22,9
36,2010-06-09,0.0195274358512728,2010-06-07,2010-06-16,9
36,2010-09-09,-0.013256511174952045,2010-09-07,2010-09-16,9
40,2010-04-27,-0.010898604289846025,2010-04-23,2010-05-04,11
40,2010-07-27,-0.0012598710813400587,2010-07-23,2010-08-03,11
40,2010-10-26,0.0015408360766542685,2010-10-22,2010-11-02,11
41,2010-04-27,-0.00975028495389978,2010-04-23,2010-05-04,11
41,2010-07-27,0.008000219732644044,2010-07-23,2010-08-03,11
41,2010-10-26,-0.002643423993197672,2010-10-22,2010-11-02,11
43,2010-05-05,-0.015417329811937707,2010-05-03,2010-05-12,9
43,2010-08-05,0.002043931624099888,2010-08-03,2010-08-12,9
43,2010-11-04,0.004009159861291188,2010-11-02,2010-11-11,9
54,2010-04-26,0.0037822018456281806,2010-04-22,2010-05-03,11
54,2010-07-28,-0.0007496864547315278,2010-07-26,2010-08-04,9
54,2010-10-26,0.0028022177325192025,2010-10-22,2010-11-02,11
58,2010-05-07,-0.004308188550840444,2010-05-05,2010-05-14,9
58,2010-08-06,0.0008433472906977802,2010-08-04,2010-08-13,9
58,2010-11-04,-0.0024154610558579327,2010-11-02,2010-11-11,9
61,2010-04-20,-0.017550505061654453,2010-04-16,2010-04-27,11
61,2010-07-27,-0.0033626317059069345,2010-07-23,2010-08-03,11
61,2010-10-26,-0.0012257425947045204,2010-10-22,2010-11-02,11
62,2010-06-10,-0.008135163093696772,2010-06-08,2010-06-17,9
62,2010-09-10,-0.006899322797149012,2010-09-08,2010-09-17,9
62,2010-12-09,0.010172143909272065,2010-12-07,2010-12-16,9
112,2010-04-27,-0.007012269711770239,2010-04-23,2010-05-04,11
112,2010-07-28,-0.021987541554626663,2010-07-26,2010-08-04,9
112,2010-10-28,-0.01919750298800926,2010-10-26,2010-11-04,9
122,2010-05-06,-0.0013299439209266645,2010-05-04,2010-05-13,9
122,2010-07-28,-0.019818976300552908,2010-07-26,2010-08-04,9
122,2010-11-04,0.00594059341537534,2010-11-02,2010-11-11,9
133,2010-04-28,-0.02803334516933367,2010-04-26,2010-05-05,9
133,2010-08-04,0.0005762513232737362,2010-08-02,2010-08-11,9
133,2010-11-03,0.007140366423855095,2010-11-01,2010-11-10,9
134,2010-05-12,0.011299433049608044,2010-05-10,2010-05-19,9
134,2010-08-11,-0.0037182869389127374,2010-08-09,2010-08-18,9
134,2010-11-09,-0.016042778775032056,2010-11-05,2010-11-16,11
138,2010-05-04,0.003185006729353159,2010-04-30,2010-05-11,11
138,2010-08-03,-0.00663942437579578,2010-07-30,2010-08-10,11
138,2010-11-02,0.004596528847047307,2010-10-29,2010-11-09,11
139,2010-04-29,-0.012590489776229265,2010-04-27,2010-05-06,9
139,2010-07-29,0.008130084189971059,2010-07-27,2010-08-05,9
139,2010-10-28,0.019595955357407078,2010-10-26,2010-11-04,9
155,2010-04-21,-0.001979611356695712,2010-04-19,2010-04-28,9
155,2010-07-22,0.0055129734068882046,2010-07-20,2010-07-29,9
155,2010-10-21,0.001142230591748514,2010-10-19,2010-10-28,9
157,2010-04-21,-0.008300774812798504,2010-04-19,2010-04-28,9
157,2010-07-21,0.0045549555853179585,2010-07-19,2010-07-28,9
157,2010-10-20,0.01262625715292526,2010-10-18,2010-10-27,9
158,2010-05-13,-0.0011251747220859404,2010-05-11,2010-05-20,9
